"","Adres","Aangeboden sinds","Verkoopdatum","Looptijd","Laatste vraagprijs","Vraagprijs per m²","Status","Bijdrage VvE","Soort appartement","Soort bouw","Bouwjaar","Soort dak","Wonen","Gebouwgebonden buitenruimte","Externe bergruimte","Inhoud","Aantal kamers","Aantal badkamers","Badkamervoorzieningen","Aantal woonlagen","Gelegen op","Voorzieningen","Voorlopig energielabel","Isolatie","Verwarming","Warm water","Cv-ketel","Eigendomssituatie","Ligging","Balkon/dakterras","Schuur/berging","Soort garage","Soort parkeergelegenheid","Inschrijving KvK","Jaarlijkse vergadering","Periodieke bijdrage","Reservefonds aanwezig","Onderhoudsplan","Opstalverzekering","Soort woonhuis","Overige inpandige ruimte","Perceel","Energielabel","Oppervlakte","Tuin","Achtertuin","Ligging tuin","Capaciteit"
"1157","Apollohof 135","26 maart 2020","10 april 2020","2 weken","€ 274.500 kosten koper","€ 2.473","Verkocht",NA,NA,"Bestaande bouw","1973","Zadeldak bedekt met pannen","111 m²","8 m²",NA,"380 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","2 woonlagen en een zolder",NA,NA,"C Wat betekent dit?","Dakisolatie en HR-glas","Cv-ketel en gehele vloerverwarming","Cv-ketel","Daalderop 32/80 (gas gestookt combiketel uit 2003, eigendom)","Volle eigendom",NA,NA,"Vrijstaande stenen berging",NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning","10 m²","153 m²",NA,"153 m²","Achtertuin en voortuin","57 m² (9,5 meter diep en 6 meter breed)","Gelegen op het noordwesten bereikbaar via achterom",NA
"1158","Aalmoezenier Verheggenplein 46","23 april 2020","11 mei 2020","2 weken","€ 300.000 kosten koper","€ 2.308","Verkocht",NA,NA,"Bestaande bouw","2002","Lessenaardak bedekt met pannen","130 m²",NA,"6 m²","440 m³","6 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","2 woonlagen",NA,"Buitenzonwering, mechanische ventilatie, rolluiken, schuifpui en TV kabel",NA,"Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Stadsverwarming","Stadsverwarming",NA,"Volle eigendom","Aan park en aan rustige weg",NA,"Vrijstaande stenen berging",NA,"Parkeervergunningen",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning","3 m²","159 m²","A Wat betekent dit?","159 m²","Achtertuin en voortuin","64 m² (10,5 meter diep en 6,05 meter breed)","Gelegen op het westen bereikbaar via achterom",NA
"1159","Sint Lambertuslaan 31","17 januari 2020","24 maart 2020","2 maanden","€ 875.000 kosten koper","€ 3.788","Verkocht",NA,NA,"Bestaande bouw","1906",NA,"231 m²","4 m²",NA,"1.140 m³","7 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen, een vliering en een kelder",NA,"Dakraam en TV kabel",NA,"Dakisolatie en gedeeltelijk dubbel glas","Cv-ketel","Cv-ketel","Bosch HR (gas gestookt combiketel, huur)","Volle eigendom","In woonwijk","Balkon aanwezig",NA,NA,"Betaald parkeren en parkeervergunningen",NA,NA,NA,NA,NA,NA,"Herenhuis, halfvrijstaande woning","60 m²","350 m²","G 3,31 Wat betekent dit?","350 m²","Achtertuin, voortuin en zijtuin",NA,NA,NA
"1160","Graaf van Waldeckstraat 17","14 mei 2020","14 mei 2020","0 dagen","€ 895.000 kosten koper","€ 3.594","Verkocht",NA,NA,"Bestaande bouw","1910","Zadeldak bedekt met pannen","249 m²",NA,NA,"1.135 m³","7 kamers (4 slaapkamers)","2 badkamers en 1 apart toilet","Ligbad en 2 toiletten","4 woonlagen en een kelder",NA,NA,"F Wat betekent dit?","Grotendeels dubbelglas","Cv-ketel","Gasboiler","Nefit (gas gestookt uit 2008, eigendom)","Volle eigendom","Aan rustige weg en in woonwijk",NA,NA,NA,"Betaald parkeren en parkeervergunningen",NA,NA,NA,NA,NA,NA,"Herenhuis, tussenwoning","60 m²","298 m²",NA,"298 m²","Achtertuin","175 m² (25 meter diep en 7 meter breed)","Gelegen op het oosten",NA
"1161","Kroonruwe 16","9 april 2020","27 april 2020","2 weken","€ 199.500 kosten koper","€ 1.937","Verkocht",NA,NA,"Bestaande bouw","1967","Zadeldak bedekt met pannen","103 m²","18 m²","10 m²","386 m³","8 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","3 woonlagen en een kelder",NA,"Airconditioning, rolluiken, rookkanaal en TV kabel",NA,"Dubbel glas","Cv-ketel","Cv-ketel","HR combiketel (gas gestookt combiketel, eigendom)","Volle eigendom","Aan rustige weg, beschutte ligging en in woonwijk",NA,"Vrijstaande stenen berging",NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning","12 m²","148 m²","E 2,01 Wat betekent dit?","148 m²","Achtertuin en voortuin","59 m² (9,92 meter diep en 5,96 meter breed)","Gelegen op het noordwesten bereikbaar via achterom",NA
"1162","Veldwezeltstraat 8","20 april 2020","5 mei 2020","2 weken","€ 399.000 kosten koper","€ 2.850","Verkocht",NA,NA,"Bestaande bouw","1998","Lessenaardak bedekt met pannen","140 m²","6 m²",NA,"523 m³","7 kamers (4 slaapkamers)","1 badkamer en 2 aparte toiletten","Ligbad","3 woonlagen",NA,"Elektra, verwarming en stromend water","B Wat betekent dit?","Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel","HR combiketel (gas gestookt combiketel, eigendom)","Volle eigendom","Aan rustige weg, open ligging en vrij uitzicht","Dakterras aanwezig",NA,"Inpandig en parkeerplaats","Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, 2-onder-1-kapwoning","27 m²","271 m²",NA,"271 m²","Achtertuin en voortuin","96 m² (12 meter diep en 8 meter breed)","Gelegen op het zuiden","3 auto's"
"1163","Schaelsbergerbosch 10","8 april 2020","30 april 2020","3 weken","€ 489.000 kosten koper","€ 3.196","Verkocht",NA,NA,"Bestaande bouw","2002","Plat dak","153 m²","31 m²",NA,"583 m³","5 kamers (4 slaapkamers)",NA,NA,"3 woonlagen",NA,"Buitenzonwering, mechanische ventilatie, rolluiken, schuifpui en zonnepanelen",NA,"Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel en zonneboiler","Gas gestookt uit 2011, eigendom","Volle eigendom","Aan rustige weg en in woonwijk",NA,NA,"Inpandig",NA,NA,NA,NA,NA,NA,NA,"Herenhuis, halfvrijstaande woning","17 m²","282 m²","A Wat betekent dit?","282 m²","Achtertuin en voortuin",NA,NA,"1 auto"
"1164","Galopiahof 45","16 maart 2020","13 april 2020","4 weken","€ 259.000 kosten koper","€ 2.158","Verkocht",NA,NA,"Bestaande bouw","1972","Zadeldak bedekt met pannen","120 m²",NA,"26 m²","420 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","2 woonlagen en een zolder",NA,"Dakraam en rolluiken","D Wat betekent dit?","Dakisolatie, dubbel glas en HR-glas","Cv-ketel en gashaard","Cv-ketel","Gas gestookt, eigendom","Volle eigendom",NA,NA,"Vrijstaande stenen berging","Vrijstaande stenen garage","Openbaar parkeren en parkeergarage",NA,NA,NA,NA,NA,NA,"Eengezinswoning, eindwoning",NA,"191 m²",NA,"191 m²","Achtertuin","57 m² (0,01 meter diep en 0,01 meter breed)","Gelegen op het zuidwesten bereikbaar via achterom","1 auto"
"1165","Forcadentstraat 76 C","21 februari 2020","14 mei 2020","2½ maand","€ 139.000 kosten koper","€ 2.075","Verkocht","€ 129,00 per maand","Portiekflat (appartement)","Bestaande bouw","1959","Plat dak","67 m²","9 m²","6 m²","253 m³","4 kamers (2 slaapkamers)",NA,NA,"3 woonlagen","3e woonlaag","Elektra",NA,"Dakisolatie en gedeeltelijk dubbel glas","Cv-ketel","Cv-ketel","Remeha Quinta (gas gestookt combiketel uit 2005, eigendom)","Volle eigendom","Aan rustige weg en in woonwijk",NA,"Inpandig",NA,"Openbaar parkeren","Ja","Ja","Ja (€ 129,00 per maand)","Nee","Nee","Nee",NA,NA,NA,"G 3,25 Wat betekent dit?",NA,NA,NA,NA,NA
"1166","Roserije 30 A","28 april 2020","14 mei 2020","2 weken","€ 175.000 kosten koper","€ 2.188","Verkocht",NA,"Maisonnette (appartement)","Bestaande bouw","1980",NA,"80 m²",NA,"4 m²","240 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","2 woonlagen",NA,NA,"B Wat betekent dit?","Volledig geïsoleerd","Cv-ketel","Cv-ketel","Intergas Kompakt HRE ( combiketel uit 2019, eigendom)",NA,NA,NA,"Inpandig",NA,NA,"Ja","Ja","Ja","Ja","Ja","Ja",NA,NA,NA,NA,NA,"Voortuin",NA,NA,NA
"1167","Heugemerweg 30 D","7 april 2020","9 mei 2020","4 weken","€ 369.000 kosten koper","€ 3.690","Verkocht",NA,"Galerijflat (appartement)","Bestaande bouw","2003","Plat dak bedekt met bitumineuze dakbedekking","100 m²","11 m²",NA,"296 m³","3 kamers (2 slaapkamers)",NA,NA,"1 woonlaag","3e woonlaag","Airconditioning, mechanische ventilatie en TV kabel",NA,"Volledig geïsoleerd","Stadsverwarming, gehele vloerverwarming en warmte terugwininstallatie","Stadsverwarming",NA,"Volle eigendom","Aan rustige weg, in centrum, in woonwijk en open ligging",NA,NA,"Parkeerkelder","Betaald parkeren, openbaar parkeren, parkeergarage en parkeervergunningen","Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,"C 1,32 Wat betekent dit?",NA,"Zonneterras",NA,NA,NA
"1168","Trappendaal 51","29 februari 2020","20 maart 2020","2 weken","€ 229.000 kosten koper","€ 2.120","Verkocht",NA,NA,"Bestaande bouw","1991","Zadeldak bedekt met pannen","108 m²",NA,NA,"373 m³","5 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet",NA,"2 woonlagen en een zolder",NA,"Natuurlijke ventilatie en TV kabel","C Wat betekent dit?","Dubbel glas, HR-glas en volledig geïsoleerd","Cv-ketel en gedeeltelijke vloerverwarming","Cv-ketel","Gas gestookt combiketel, huur",NA,"Aan rustige weg en in woonwijk",NA,NA,NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning","15 m²","127 m²",NA,"127 m²","Achtertuin","51 m² (8,5 meter diep en 6 meter breed)",NA,NA
"1169","Clavecymbelstraat 28 B","1 april 2020","1 mei 2020","4 weken","€ 169.000 kosten koper","€ 2.086","Verkocht","€ 158,00 per maand","Maisonnette (appartement)","Bestaande bouw","1958","Plat dak bedekt met bitumineuze dakbedekking","81 m²","5 m²",NA,"280 m³","4 kamers (3 slaapkamers)","1 apart toilet",NA,"2 woonlagen","1e woonlaag",NA,NA,"Dubbel glas","Cv-ketel en warmte terugwininstallatie","Cv-ketel","Remeha Avanta HR (gas gestookt combiketel uit 2012, eigendom)","Volle eigendom","In woonwijk en open ligging",NA,"Inpandig",NA,"Openbaar parkeren","Ja","Ja","Ja (€ 158,00 per maand)","Ja","Ja","Ja",NA,"7 m²",NA,"C Wat betekent dit?",NA,NA,NA,NA,NA
"1170","Kleine Gracht 17","17 maart 2020","14 april 2020","4 weken","€ 625.000 kosten koper","€ 2.350","Verkocht",NA,NA,"Bestaande bouw","1800","Samengesteld dak bedekt met pannen","266 m²","3 m²",NA,"1.188 m³","13 kamers",NA,NA,"3 woonlagen, een vliering en een kelder",NA,NA,"F Wat betekent dit?","Geen spouw","Cv-ketel",NA,"Bosch VR (gas gestookt uit 1971, eigendom)","Volle eigendom","In centrum",NA,NA,NA,"Betaald parkeren, parkeergarage en parkeervergunningen",NA,NA,NA,NA,NA,NA,"Herenhuis, tussenwoning","53 m²","135 m²",NA,"135 m²","Achtertuin en patio/atrium",NA,"Gelegen op het noordwesten",NA
"1171","Ravennahof 43","14 februari 2020","4 maart 2020","2 weken","€ 235.000 kosten koper","€ 2.611","Verkocht",NA,NA,"Bestaande bouw","1970",NA,"90 m²",NA,"28 m²","385 m³","5 kamers (4 slaapkamers)",NA,NA,"3 woonlagen",NA,NA,NA,NA,NA,NA,NA,"Volle eigendom","Aan rustige weg en in woonwijk",NA,"Vrijstaande stenen berging","Vrijstaande stenen garage",NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning",NA,"126 m²","C Wat betekent dit?","126 m²","Achtertuin en voortuin",NA,NA,"1 auto"
"1172","Salernolaan 32","11 maart 2020","21 april 2020","5 weken","€ 349.000 kosten koper","€ 2.815","Verkocht",NA,NA,"Bestaande bouw","1988","Zadeldak bedekt met pannen","124 m²",NA,NA,"468 m³","6 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Toilet","3 woonlagen",NA,"Elektra en stromend water",NA,"Dakisolatie en muurisolatie","Heteluchtverwarming","Gasboiler",NA,"Volle eigendom","In woonwijk en vrij uitzicht",NA,"Aangebouwde stenen berging","Aangebouwde stenen garage","Betaald parkeren, op eigen terrein en openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, vrijstaande woning","23 m²","400 m²","C Wat betekent dit?","400 m²","Achtertuin, voortuin en zijtuin","150 m² (12 meter diep en 12,5 meter breed)","Gelegen op het zuidwesten bereikbaar via achterom","1 auto"
"1173","Orleansplein 22 A03","1 april 2020","2 mei 2020","4 weken","€ 230.000 kosten koper","€ 2.556","Verkocht","€ 77,60 per maand","Bovenwoning (appartement)","Bestaande bouw","1934","Zadeldak bedekt met pannen","90 m²","7 m²","6 m²","346 m³","5 kamers (3 slaapkamers)","1 badkamer","Douche en toilet","2 woonlagen","3e woonlaag","TV kabel",NA,"Gedeeltelijk dubbel glas","Cv-ketel","Cv-ketel","Remeha Avanta (gas gestookt combiketel uit 2009, eigendom)","Volle eigendom","In woonwijk","Balkon aanwezig","Inpandig",NA,"Betaald parkeren en parkeervergunningen","Ja","Ja","Ja (€ 77,60 per maand)","Ja","Ja","Ja",NA,"1 m²",NA,"D Wat betekent dit?",NA,NA,NA,NA,NA
"1174","Athoslaan 102","7 februari 2020","14 maart 2020","5 weken","€ 875.000 kosten koper","€ 4.051","Verkocht",NA,NA,"Bestaande bouw","1964","Plat dak bedekt met bitumineuze dakbedekking","216 m²","13 m²","3 m²","962 m³","5 kamers (4 slaapkamers)","2 badkamers en 1 apart toilet","Ligbad, 2 douches en 2 toiletten","2 woonlagen",NA,"Elektrische deur, elektra en stromend water","F Wat betekent dit?","Dakisolatie, dubbel glas, HR-glas en muurisolatie","Cv-ketel","Gasboiler (huur)","Nefit HR (gas gestookt uit 2013, huur)","Volle eigendom","Aan rustige weg en in woonwijk",NA,"Inpandig","Inpandig","Op eigen terrein",NA,NA,NA,NA,NA,NA,"Villa, vrijstaande woning","62 m²","1.260 m²",NA,"1.260 m²","Tuin rondom",NA,NA,"2 auto's"
"1175","Mockstraat 57","29 april 2020","7 mei 2020","8 dagen","€ 325.000 kosten koper","€ 2.110","Verkocht",NA,NA,"Bestaande bouw","1958","Zadeldak bedekt met bitumineuze dakbedekking en pannen","154 m²",NA,"15 m²","732 m³","8 kamers (6 slaapkamers)","1 badkamer en 2 aparte toiletten",NA,"3 woonlagen, een vliering en een kelder",NA,"Elektra en stromend water","E Wat betekent dit?","Gedeeltelijk dubbel glas","Gaskachels","Geiser",NA,"Volle eigendom","In woonwijk",NA,"Vrijstaande houten berging","Inpandig","Openbaar parkeren en parkeervergunningen",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning","54 m²",NA,NA,NA,"Achtertuin","444 m² (38,31 meter diep en 11,59 meter breed)","Gelegen op het westen bereikbaar via achterom","1 auto"
"1176","Churchilllaan 11","12 maart 2020","11 mei 2020","8 weken","€ 298.000 kosten koper","€ 2.525","Verkocht",NA,NA,"Bestaande bouw","1960",NA,"118 m²",NA,"3 m²","527 m³","5 kamers (4 slaapkamers)","1 apart toilet",NA,"2 woonlagen, een zolder en een kelder",NA,NA,NA,"Grotendeels dubbelglas","Cv-ketel","Cv-ketel","CR Remeha (2010, eigendom)","Volle eigendom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning","20 m²","134 m²","C Wat betekent dit?","134 m²","Achtertuin",NA,NA,NA
"1177","Habsburgerplein 15","25 april 2020","7 mei 2020","12 dagen","€ 195.000 kosten koper","€ 2.053","Verkocht",NA,NA,"Bestaande bouw","1992",NA,"95 m²",NA,NA,"275 m³","4 kamers (3 slaapkamers)",NA,NA,"2 woonlagen",NA,NA,"B Wat betekent dit?",NA,NA,NA,NA,NA,NA,NA,NA,"Parkeerplaats",NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning",NA,"121 m²",NA,"121 m²","Achtertuin en voortuin","53 m² (5,75 meter diep en 9,3 meter breed)","Gelegen op het noordoosten bereikbaar via achterom",NA
"1178","Médoclaan 223","11 mei 2020","11 mei 2020","0 dagen","€ 625.000 kosten koper","€ 2.790","Verkocht",NA,NA,"Bestaande bouw","1974","Zadeldak","224 m²","28 m²",NA,"793 m³","8 kamers (5 slaapkamers)","2 badkamers en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen",NA,NA,"D Wat betekent dit?","Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel","Gas gestookt combiketel uit 2013, eigendom","Volle eigendom","In woonwijk",NA,"Aangebouwde houten berging","Carport, garage mogelijk en parkeerplaats","Op eigen terrein",NA,NA,NA,NA,NA,NA,"Eengezinswoning, 2-onder-1-kapwoning","5 m²","415 m²",NA,"415 m²","Achtertuin en voortuin","187 m² (17 meter diep en 11 meter breed)","Gelegen op het zuiden bereikbaar via achterom",NA
"1179","Geyaartsborg 52","30 januari 2020","14 april 2020","2 maanden","€ 245.000 kosten koper","€ 2.130","Verkocht",NA,NA,"Bestaande bouw","1978","Zadeldak bedekt met bitumineuze dakbedekking en pannen","115 m²",NA,"13 m²","410 m³","8 kamers (4 slaapkamers)","1 badkamer","Ligbad, douche en toilet","3 woonlagen",NA,"Elektra",NA,"Dakisolatie en muurisolatie","Cv-ketel","Cv-ketel","HR Remeha (gas gestookt combiketel uit 2007, eigendom)","Volle eigendom","Aan rustige weg, beschutte ligging en in woonwijk",NA,"Vrijstaande stenen berging","Carport en parkeerplaats","Op eigen terrein",NA,NA,NA,NA,NA,NA,"Eengezinswoning, eindwoning","14 m²","244 m²","C Wat betekent dit?","64 m²","Achtertuin, voortuin en zijtuin","75 m² (9,02 meter diep en 8,35 meter breed)","Gelegen op het oosten bereikbaar via achterom",NA
"1180","Overrepenstraat 3","25 april 2020","4 mei 2020","9 dagen","€ 225.000 kosten koper","€ 2.368","Verkocht",NA,NA,"Bestaande bouw","1999","Plat dak bedekt met bitumineuze dakbedekking","95 m²",NA,"6 m²","286 m³","5 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","2 woonlagen",NA,"Elektra",NA,"Volledig geïsoleerd","Cv-ketel","Cv-ketel","HR (gas gestookt combiketel uit 2014, eigendom)","Volle eigendom","In woonwijk",NA,"Vrijstaande stenen berging",NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning",NA,"130 m²","A Wat betekent dit?","130 m²","Achtertuin en voortuin","50 m² (10 meter diep en 5 meter breed)","Gelegen op het zuidoosten bereikbaar via achterom",NA
"1181","Sadatdomein 30","4 april 2020","1 mei 2020","3 weken","€ 465.000 kosten koper
Hypotheekadvies","€ 3.523","Verkocht",NA,NA,"Bestaande bouw","1988","Zadeldak bedekt met pannen","132 m²",NA,NA,"541 m³","5 kamers (4 slaapkamers)","2 badkamers","Ligbad, douche en toilet","3 woonlagen",NA,"Elektrische deur, vliering, elektra en stromend water",NA,"Dakisolatie, dubbel glas en muurisolatie","Cv-ketel","Cv-ketel","HR (gas gestookt combiketel uit 2009, eigendom)","Volle eigendom","Aan rustige weg en in woonwijk",NA,NA,"Aangebouwde stenen garage en parkeerplaats","Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, geschakelde 2-onder-1-kapwoning","32 m²","240 m²","C Wat betekent dit?","240 m²","Achtertuin en voortuin","85 m² (9,5 meter diep en 8,9 meter breed)","Gelegen op het zuidoosten","1 auto"
"1182","Romulushof 16","13 maart 2020","31 maart 2020","2 weken","€ 395.000 kosten koper","€ 2.633","Verkocht",NA,NA,"Bestaande bouw","1980","Zadeldak bedekt met pannen","150 m²","32 m²",NA,"490 m³","4 kamers (3 slaapkamers)","1 badkamer en 2 aparte toiletten","Ligbad","2 woonlagen en een zolder",NA,"Elektra, verwarming en stromend water","C Wat betekent dit?","Dubbel glas","Cv-ketel en gashaard","Cv-ketel","Remeha Calenta (gas gestookt combiketel uit 2016, huur)","Volle eigendom","Aan rustige weg en in woonwijk",NA,NA,"Garage met carport","Op eigen terrein en openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning","21 m²","244 m²",NA,"244 m²","Achtertuin",NA,NA,"1 auto"
"1183","Hagenstraat 11","7 juni 2019","3 april 2020","9½ maand","€ 449.000 kosten koper","€ 3.054","Verkocht",NA,NA,"Bestaande bouw","1977","Zadeldak bedekt met pannen","147 m²","4 m²","22 m²","600 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Toilet","2 woonlagen",NA,"Elektra","F Wat betekent dit?","Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel","Nefit (gas gestookt combiketel uit 2003, eigendom)","Volle eigendom","In woonwijk","Balkon aanwezig","Vrijstaande houten berging",NA,"Op eigen terrein",NA,NA,NA,NA,NA,NA,"Eengezinswoning, vrijstaande woning","15 m²","1.075 m²",NA,"145 m²","Achtertuin","27 meter diep en 34,4 meter breed","Gelegen op het noorden bereikbaar via achterom",NA
"1184","Sibemaweg 31 D","18 april 2020","7 mei 2020","2 weken","€ 295.000 kosten koper","€ 2.682","Verkocht",NA,"Portiekflat (corridorflat)","Bestaande bouw","1994","Plat dak bedekt met bitumineuze dakbedekking","110 m²","11 m²","4 m²","320 m³","1 kamer","1 badkamer en 1 apart toilet","Douche","1 woonlaag","4e woonlaag","Lift, mechanische ventilatie en TV kabel",NA,"Dubbel glas en muurisolatie","Cv-ketel","Cv-ketel","HR Combi (gas gestookt)",NA,"In woonwijk","Balkon aanwezig","Inpandig","Parkeerkelder","Betaald parkeren, openbaar parkeren en parkeervergunningen","Nee","Nee","Nee","Nee","Nee","Nee",NA,NA,NA,"B Wat betekent dit?",NA,NA,NA,NA,NA
"1185","Sibemaweg 45 B","18 april 2020","6 mei 2020","2 weken","€ 235.000 kosten koper","€ 2.901","Verkocht",NA,"Portiekflat (corridorflat)","Bestaande bouw","1994","Plat dak bedekt met bitumineuze dakbedekking","81 m²","9 m²","4 m²","240 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en douche","1 woonlaag","1e woonlaag","Elektra",NA,"Dubbel glas en muurisolatie","Cv-ketel","Cv-ketel","HR combi (gas gestookt combiketel)",NA,"In woonwijk en vrij uitzicht","Balkon aanwezig","Inpandig","Parkeerkelder","Betaald parkeren, openbaar parkeren en parkeervergunningen","Nee","Nee","Nee","Nee","Nee","Nee",NA,"4 m²",NA,"B Wat betekent dit?",NA,NA,NA,NA,NA
"1186","Maagdendries 55 D","25 maart 2020","24 april 2020","4 weken","€ 325.000 kosten koper","€ 4.167","Verkocht",NA,"Galerijflat (appartement)","Bestaande bouw","2017",NA,"78 m²","7 m²",NA,"290 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad","1 woonlaag","3e woonlaag",NA,NA,"Dakisolatie, dubbel glas, muurisolatie, vloerisolatie en volledig geïsoleerd","Stadsverwarming, gehele vloerverwarming en warmte terugwininstallatie",NA,NA,"Volle eigendom",NA,"Balkon aanwezig","Inpandig",NA,"Parkeervergunningen","Nee","Nee","Nee","Nee","Nee","Nee",NA,"5 m²",NA,"Niet beschikbaar",NA,NA,NA,NA,NA
"1187","Professor Moserstraat 23","20 april 2020","6 mei 2020","2 weken","€ 175.000 kosten koper","€ 2.083","Verkocht",NA,NA,"Bestaande bouw","1921","Samengesteld dak bedekt met pannen","84 m²",NA,"7 m²","352 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad","2 woonlagen, een zolder en een kelder",NA,NA,NA,"Dakisolatie","Cv-ketel","Cv-ketel","Eigendom","Volle eigendom",NA,NA,"Vrijstaande stenen berging",NA,NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, halfvrijstaande woning","10 m²","128 m²","E 2,20 Wat betekent dit?","128 m²","Achtertuin en voortuin",NA,NA,NA
"1188","Hoofreen 24, 3620 Gellik - België","23 november 2018","6 mei 2020","17 maanden","€ 250.000 kosten koper","€ 1.852","Verkocht",NA,NA,"Bestaande bouw","1981","Zadeldak","135 m²",NA,"16 m²","450 m³","7 kamers (3 slaapkamers)","1 apart toilet",NA,"2 woonlagen en een vliering",NA,"Elektra",NA,"Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel","Vaillant (gas gestookt combiketel uit 1981, eigendom)","Volle eigendom","Aan rustige weg en in woonwijk",NA,"Inpandig","Niet aanwezig, wel mogelijk",NA,NA,NA,NA,NA,NA,NA,"Eengezinswoning, vrijstaande woning","26 m²","778 m²","Niet beschikbaar","778 m²","Tuin rondom",NA,NA,NA
"1189","Pastoor Habetsstraat 47","15 april 2020","1 mei 2020","2 weken","€ 449.000 kosten koper
Hypotheekadvies","€ 2.537","Verkocht",NA,NA,"Bestaande bouw","1933","Schilddak bedekt met pannen","177 m²","6 m²","3 m²","730 m³","8 kamers (5 slaapkamers)",NA,NA,"3 woonlagen en een kelder",NA,"Rolluiken, rookkanaal en TV kabel","G Wat betekent dit?",NA,"Gashaard en gaskachels","Gasboiler (huur)",NA,"Volle eigendom","Aan rustige weg en in woonwijk",NA,"Vrijstaande stenen berging",NA,NA,NA,NA,NA,NA,NA,NA,"Herenhuis, halfvrijstaande woning","21 m²","323 m²",NA,"323 m²","Achtertuin, voortuin en zijtuin",NA,NA,NA
"1190","Wikkeweerd 12","4 maart 2020","7 maart 2020","3 dagen","€ 285.000 kosten koper","€ 2.591","Verkocht",NA,NA,"Bestaande bouw","1983","Zadeldak","110 m²",NA,"6 m²","325 m³","4 kamers (3 slaapkamers)","2 badkamers en 1 apart toilet","Ligbad, douche en 2 toiletten","3 woonlagen",NA,"Dakraam, schuifpui en zonnepanelen",NA,"Dakisolatie, dubbel glas en HR-glas","Cv-ketel","Cv-ketel","Nefit ecomline (gas gestookt combiketel uit 2015, eigendom)","Volle eigendom","Aan rustige weg en in woonwijk",NA,"Vrijstaande stenen berging",NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,"Eengezinswoning, eindwoning",NA,"144 m²","A Wat betekent dit?","144 m²","Achtertuin en voortuin","71 m² (0,01 meter diep en 0,01 meter breed)","Gelegen op het noorden bereikbaar via achterom",NA
"1191","Ranonkelstraat 24","4 maart 2020","24 maart 2020","2 weken","€ 175.000 kosten koper","€ 2.536","Verkocht",NA,NA,"Bestaande bouw","1949","Zadeldak bedekt met pannen","69 m²",NA,"6 m²","320 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche","2 woonlagen, een zolder en een kelder",NA,"Natuurlijke ventilatie en TV kabel",NA,"Dubbel glas","Cv-ketel","Cv-ketel","Remeha Calenta HR (gas gestookt combiketel uit 2012, eigendom)",NA,"In woonwijk",NA,"Vrijstaande stenen berging",NA,"Betaald parkeren en parkeervergunningen",NA,NA,NA,NA,NA,NA,"Eengezinswoning, tussenwoning","24 m²","130 m²","D 1,75 Wat betekent dit?","130 m²","Achtertuin",NA,NA,NA
