"","Adres","Aangeboden sinds","Verkoopdatum","Looptijd","Laatste vraagprijs","Vraagprijs per m²","Status","Soort woonhuis","Soort bouw","Bouwjaar","Soort dak","Wonen","Externe bergruimte","Perceel","Inhoud","Aantal kamers","Aantal badkamers","Badkamervoorzieningen","Aantal woonlagen","Voorzieningen","Energielabel","Isolatie","Verwarming","Warm water","STRIJP G 1029","Oppervlakte","Eigendomssituatie","Ligging","Tuin","Achtertuin","Ligging tuin","Schuur/berging","Soort parkeergelegenheid","Overige inpandige ruimte","Gebouwgebonden buitenruimte","Soort garage","Capaciteit","Cv-ketel","Specifiek","Servicekosten","Balkon/dakterras","Bijdrage VvE","Soort appartement","Toegankelijkheid"
"2498","Strijpsestraat 3 a","3 april 2020","21 april 2020","2 weken","€ 315.000 kosten koper","€ 3.088","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1986","Zadeldak bedekt met pannen","102 m²","6 m²","149 m²","347 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","3 woonlagen","Elektra","C Wat betekent dit?","Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel",NA,"149 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin","55 m² (11 meter diep en 5,5 meter breed)","Gelegen op het zuiden bereikbaar via achterom","Vrijstaande stenen berging","Parkeervergunningen",NA,NA,NA,NA,"Remeha Tzerra Ace 28c CW4 (gas gestookt combiketel uit 2019, huur)",NA,NA,NA,NA,NA,NA
"2499","Magerhorst 40","20 maart 2020","6 april 2020","2 weken","€ 250.000 kosten koper","€ 1.969","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1975","Zadeldak bedekt met bitumineuze dakbedekking en pannen","127 m²","4 m²","162 m²","482 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","2 woonlagen en een zolder","Elektra","C Wat betekent dit?","Grotendeels dubbelglas","Cv-ketel","Cv-ketel",NA,"162 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin","72 m² (12 meter diep en 6 meter breed)","Gelegen op het noorden bereikbaar via achterom","Aangebouwde stenen berging","Openbaar parkeren","9 m²",NA,NA,NA,"Nefit Ecomline HR (gas gestookt combiketel uit 2000, eigendom)",NA,NA,NA,NA,NA,NA
"2500","Heuvelakker 26","13 maart 2020","2 april 2020","2 weken","€ 275.000 kosten koper","€ 1.937","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1968","Zadeldak bedekt met pannen","142 m²","10 m²","198 m²","510 m³","8 kamers (6 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","4 woonlagen","Elektra","D Wat betekent dit?","Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel",NA,"18 m²","Volle eigendom","In woonwijk en vrij uitzicht","Achtertuin en voortuin","11,8 meter diep en 6,35 meter breed","Gelegen op het noorden bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren","11 m²",NA,"Garagebox","1 auto","Atag (gas gestookt combiketel uit 2013, eigendom)",NA,NA,NA,NA,NA,NA
"2501","Meerring 32","7 maart 2020","24 maart 2020","2 weken","€ 465.000 kosten koper","€ 2.835","Verkocht","Eengezinswoning, tussenwoning (waterwoning)","Bestaande bouw","2018","Plat dak bedekt met bitumineuze dakbedekking","164 m²",NA,"50 m²","570 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Toilet","2 woonlagen en een kelder","Glasvezelkabel en mechanische ventilatie","A Wat betekent dit?","Volledig geïsoleerd","Stadsverwarming","Stadsverwarming",NA,"50 m²","Volle eigendom","Aan water, in woonwijk, open ligging en vrij uitzicht","Achtertuin en zonneterras","25 m² (5 meter diep en 5 meter breed)","Gelegen op het noorden",NA,"Betaald parkeren, op afgesloten terrein, op eigen terrein, openbaar parkeren en parkeergarage",NA,NA,"Parkeerplaats",NA,NA,NA,"€ 23 per maand","Balkon aanwezig",NA,NA,NA
"2502","Bourgognelaan 110","22 februari 2020","19 maart 2020","3 weken","€ 325.000 kosten koper","€ 2.600","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1979","Zadeldak bedekt met pannen","125 m²","10 m²","203 m²","433 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","2 woonlagen en een zolder met vliering","Elektra","B Wat betekent dit?","Dakisolatie, dubbel glas en vloerisolatie","Cv-ketel en gashaard","Cv-ketel",NA,"203 m²","Volle eigendom","Aan park, aan rustige weg, in woonwijk en vrij uitzicht","Achtertuin en voortuin","96 m² (16 meter diep en 6 meter breed)","Gelegen op het noordoosten bereikbaar via achterom","Vrijstaande stenen berging","Op eigen terrein en openbaar parkeren",NA,"4 m²","Carport",NA,"Intergas ( combiketel uit 2013, eigendom)",NA,NA,"Balkon aanwezig",NA,NA,NA
"2503","St Plechelmuspad 11","14 april 2020","30 april 2020","2 weken","€ 195.000 kosten koper","€ 2.826","Verkocht",NA,"Bestaande bouw","1960","Zadeldak bedekt met pannen","69 m²","7 m²",NA,"227 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","4 woonlagen","Elektra","D Wat betekent dit?","Gedeeltelijk dubbel glas","Cv-ketel","Cv-ketel",NA,NA,"Volle eigendom","In woonwijk en vrij uitzicht",NA,NA,NA,"Vrijstaande stenen berging","Openbaar parkeren",NA,"10 m²",NA,NA,"Nefit HR combi (gas gestookt combiketel uit 2011, eigendom)",NA,NA,"Balkon aanwezig","€ 127,31 per maand","Portiekflat (appartement)",NA
"2504","Mirabelweg 69","29 februari 2020","16 maart 2020","2 weken","€ 239.000 kosten koper","€ 1.927","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1967","Zadeldak bedekt met pannen","124 m²","14 m²","166 m²","427 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche","3 woonlagen","Dakraam en mechanische ventilatie","D Wat betekent dit?",NA,"Cv-ketel","Cv-ketel",NA,"166 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin","78 m² (12 meter diep en 6,5 meter breed)","Gelegen op het zuiden bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren",NA,"18 m²",NA,NA,"Nefit (gas gestookt uit 2012)",NA,NA,"Balkon aanwezig",NA,NA,NA
"2505","Le Sage ten Broeklaan 87","19 februari 2020","24 maart 2020","4 weken","€ 450.000 kosten koper","€ 3.409","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1957","Zadeldak bedekt met pannen","132 m²","9 m²","163 m²","460 m³","6 kamers (5 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen","Elektra",NA,"Geen isolatie","Cv-ketel","Cv-ketel en elektrische boiler",NA,"163 m²","Volle eigendom","Aan park, aan rustige weg, in centrum en vrij uitzicht","Achtertuin en voortuin","66 m² (11 meter diep en 6 meter breed)","Gelegen op het oosten bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren",NA,"3 m²",NA,NA,"Remeha Avanta (gas gestookt combiketel)",NA,NA,"Balkon aanwezig",NA,NA,NA
"2506","Aeneaslaan 36","18 april 2020","30 april 2020","12 dagen","€ 525.000 kosten koper","€ 3.621","Verkocht","Bungalow, geschakelde woning","Bestaande bouw","1964","Plat dak","145 m²","27 m²","384 m²","536 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","1 woonlaag","Elektra",NA,"Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel en open haard","Cv-ketel",NA,"384 m²","Volle eigendom","Aan rustige weg, aan water, in centrum, in woonwijk en vrij uitzicht","Achtertuin en voortuin","100 m² (10 meter diep en 10 meter breed)","Gelegen op het zuiden",NA,"Openbaar parkeren",NA,NA,"Vrijstaande stenen garage","1 auto","Remeha Calenta (gas gestookt uit 2015, eigendom)",NA,NA,NA,NA,NA,NA
"2507","Hortensiastraat 42","14 maart 2020","26 maart 2020","12 dagen","€ 350.000 kosten koper","€ 3.500","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1935","Zadeldak bedekt met pannen","100 m²","11 m²","133 m²","334 m³","5 kamers (4 slaapkamers)","1 badkamer en 2 aparte toiletten","Ligbad en douche","3 woonlagen","Elektra","E Wat betekent dit?","Dakisolatie, gedeeltelijk dubbel glas, HR-glas en vloerisolatie","Cv-ketel","Cv-ketel",NA,"133 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin","54 m² (11,8 meter diep en 4,56 meter breed)","Gelegen op het westen bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren",NA,"16 m²",NA,NA,"Nefit (gas gestookt combiketel uit 2017, eigendom)",NA,NA,"Dakterras aanwezig",NA,NA,NA
"2508","Tongelresestraat 269 a","3 maart 2020","24 maart 2020","3 weken","€ 125.000 kosten koper","€ 4.032","Verkocht",NA,"Bestaande bouw","1919","Zadeldak","31 m²","1 m²",NA,"95 m³","2 kamers (1 slaapkamer)","1 badkamer","Douche en toilet","2 woonlagen","TV kabel",NA,"Dubbel glas","Cv-ketel","Cv-ketel",NA,NA,"Volle eigendom","Aan drukke weg en in centrum",NA,NA,NA,"Inpandig","Openbaar parkeren",NA,NA,NA,NA,"Intergas (gas gestookt combiketel uit 2016, huur)",NA,NA,NA,"€ 110,00 per maand","Maisonnette (appartement)",NA
"2509","Heezerweg 229","6 december 2019","14 februari 2020","2 maanden","€ 325.000 kosten koper","€ 2.928","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1938","Zadeldak bedekt met pannen","111 m²","8 m²","142 m²","390 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","2 woonlagen en een zolder",NA,NA,NA,"Cv-ketel","Cv-ketel",NA,"142 m²","Volle eigendom",NA,"Achtertuin","72 m² (13 meter diep en 5,5 meter breed)","Gelegen op het noordoosten bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren",NA,NA,NA,NA,"Vaillant (gas gestookt uit 2003)",NA,NA,NA,NA,NA,NA
"2510","Adelaertstraat 6","21 maart 2020","6 april 2020","2 weken","€ 260.000 kosten koper","€ 2.500","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1965","Zadeldak bedekt met pannen","104 m²","10 m²","137 m²","367 m³","4 kamers (3 slaapkamers)","1 badkamer en 2 aparte toiletten","Ligbad en douche","3 woonlagen","Dakraam en rolluiken","C Wat betekent dit?","HR-glas","Cv-ketel en gashaard","Cv-ketel",NA,"137 m²","Volle eigendom","Aan park, aan rustige weg en in woonwijk","Achtertuin en voortuin","54 m² (9 meter diep en 6 meter breed)","Gelegen op het zuiden bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren",NA,"12 m²",NA,NA,"Remeha Tzerra (gas gestookt uit 2017)",NA,NA,"Balkon aanwezig",NA,NA,NA
"2511","Roostenlaan 182","17 februari 2020","12 maart 2020","3 weken","€ 395.000 kosten koper","€ 3.347","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1929","Zadeldak bedekt met pannen","118 m²",NA,"142 m²","439 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","2 woonlagen en een zolder","Glasvezelkabel, rookkanaal en TV kabel",NA,"Dubbel glas","Cv-ketel","Cv-ketel",NA,"142 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin","47 m² (10,5 meter diep en 5,83 meter breed)","Gelegen op het westen bereikbaar via achterom","Aangebouwde stenen berging","Openbaar parkeren","6 m²","3 m²",NA,NA,"Intergas HRE (gas gestookt combiketel uit 2013, eigendom)",NA,NA,"Balkon aanwezig",NA,NA,NA
"2512","Bilderdijklaan 17","14 februari 2020","29 april 2020","2 maanden","€ 2.900.000 kosten koper","€ 7.592","Verkocht","Herenhuis, vrijstaande woning","Bestaande bouw","1920",NA,"382 m²","22 m²","1.440 m²","1.723 m³","7 kamers (4 slaapkamers)","3 aparte toiletten",NA,"3 woonlagen en een kelder",NA,NA,NA,NA,NA,NA,"1.440 m²",NA,NA,NA,NA,NA,NA,NA,"89 m²","92 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2513","Telefoonstraat 2","31 januari 2020","5 maart 2020","4 weken","€ 280.000 kosten koper","€ 3.500",NA,"Eengezinswoning, hoekwoning","Bestaande bouw","1953",NA,NA,NA,NA,"410 m³","4 kamers (3 slaapkamers)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"80 m² wonen / 223 m² perceel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2514","Ockeghemstraat 17","6 maart 2020","24 maart 2020","2 weken","€ 235.000 kosten koper","€ 3.133","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1948","Zadeldak bedekt met pannen","75 m²","9 m²","202 m²","282 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad","2 woonlagen en een zolder","Elektra","D Wat betekent dit?","Dakisolatie en dubbel glas","Cv-ketel en gedeeltelijke vloerverwarming","Cv-ketel",NA,"202 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin","120 m² (20 meter diep en 6 meter breed)","Gelegen op het oosten bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren","3 m²",NA,NA,NA,"AWB (gas gestookt combiketel uit 2009, eigendom)",NA,NA,NA,NA,NA,NA
"2515","Coutançeslaan 8","13 maart 2020","24 maart 2020","11 dagen","€ 430.000 kosten koper","€ 2.925","Verkocht","Bungalow, geschakelde woning","Bestaande bouw","1985","Plat dak bedekt met bitumineuze dakbedekking","147 m²",NA,"276 m²","546 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","1 woonlaag","Airconditioning, glasvezelkabel, rookkanaal en zonnepanelen",NA,"Dakisolatie, dubbel glas en muurisolatie","Cv-ketel","Cv-ketel",NA,"276 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin","50 m² (10 meter diep en 5 meter breed)","Gelegen op het zuidwesten","Inpandig","Openbaar parkeren","9 m²","18 m²",NA,NA,"Nefit (gas gestookt combiketel uit 2008, eigendom)",NA,NA,NA,NA,NA,NA
"2516","Lenningenhof 24","6 februari 2020","3 maart 2020","3 weken","€ 350.000 kosten koper","€ 2.800","Verkocht","Bungalow, tussenwoning","Bestaande bouw","1971","Plat dak bedekt met bitumineuze dakbedekking","125 m²",NA,"261 m²","543 m³","4 kamers (3 slaapkamers)","2 badkamers en 1 apart toilet","Ligbad, douche en toilet","1 woonlaag","Elektra",NA,"Muurisolatie","Heteluchtverwarming","Gasboiler",NA,"21 m²","Volle eigendom","Aan rustige weg en in woonwijk","Patio/atrium",NA,"Gelegen op het zuiden bereikbaar via achterom",NA,"Openbaar parkeren","20 m²","9 m²","Aangebouwde stenen garage","1 auto",NA,NA,NA,NA,NA,NA,NA
"2517","Veldmaarschalk Montgomerylaan 324","26 februari 2020","25 maart 2020","4 weken","€ 250.000 kosten koper","€ 3.333","Verkocht",NA,"Bestaande bouw","1966",NA,"75 m²","25 m²",NA,"250 m³","4 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Douche","3 woonlagen",NA,NA,"Dubbel glas","Blokverwarming","Gasboiler",NA,NA,"Volle eigendom","In woonwijk",NA,NA,NA,"Inpandig","Openbaar parkeren",NA,"9 m²","Garagebox","1 auto",NA,NA,"€ 107 per maand","Balkon aanwezig",NA,"Portiekflat (appartement)",NA
"2518","Orionstraat 91","4 maart 2020","5 april 2020","4 weken","€ 150.000 kosten koper","€ 3.659","Verkocht",NA,"Bestaande bouw","1974",NA,"41 m²","8 m²",NA,"140 m³","2 kamers (1 slaapkamer)","1 badkamer","Douche en toilet","11 woonlagen","Elektra",NA,NA,NA,NA,NA,NA,"Volle eigendom","In woonwijk en vrij uitzicht",NA,NA,NA,"Inpandig",NA,NA,"7 m²",NA,NA,NA,NA,"€ 87 per maand","Balkon aanwezig",NA,"Portiekflat",NA
"2519","Roothaanstraat 15","14 maart 2020","20 maart 2020","6 dagen","€ 400.000 kosten koper","€ 3.960","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1954","Zadeldak bedekt met pannen","101 m²","8 m²","182 m²","405 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen","Elektra","F 2,74 Wat betekent dit?","Dakisolatie en dubbel glas","Cv-ketel","Cv-ketel",NA,"182 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin","91 m² (13 meter diep en 7 meter breed)","Gelegen op het noordoosten bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren","18 m²",NA,NA,NA,"Nefit (gas gestookt uit 2012)",NA,NA,NA,NA,NA,NA
"2520","Vlinderplein 10","7 februari 2020","2 maart 2020","3 weken","€ 250.000 kosten koper","€ 2.525","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1995","Plat dak bedekt met bitumineuze dakbedekking","99 m²","5 m²","104 m²","328 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","3 woonlagen","Elektra","B Wat betekent dit?","Volledig geïsoleerd","Cv-ketel","Cv-ketel",NA,"104 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin","50 m² (10 meter diep en 5 meter breed)","Gelegen op het noorden bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren",NA,"1 m²",NA,NA,"Remeha (gas gestookt combiketel uit 2014, eigendom)",NA,NA,NA,NA,NA,NA
"2521","Mignot en De Blockplein 81","3 april 2020","15 april 2020","12 dagen","€ 400.000 kosten koper","€ 4.000","Verkocht",NA,"Bestaande bouw","1991","Plat dak bedekt met bitumineuze dakbedekking","100 m²","5 m²",NA,"309 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en douche","8 woonlagen","Elektra","C Wat betekent dit?","Geen isolatie","Cv-ketel","Cv-ketel",NA,NA,"Volle eigendom","Aan rustige weg, in centrum en vrij uitzicht",NA,NA,NA,"Inpandig","Parkeergarage",NA,"7 m²","Parkeerkelder en parkeerplaats",NA,"Remeha HR (gas gestookt combiketel uit 2017, eigendom)",NA,NA,"Balkon aanwezig","€ 209,00 per maand","Portiekflat (appartement)",NA
"2522","Kardinaal van Enckevoirtstraat 21","6 maart 2020","1 april 2020","3 weken","€ 250.000 kosten koper","€ 2.381","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1959","Zadeldak bedekt met bitumineuze dakbedekking en pannen","105 m²","16 m²","150 m²","360 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche","3 woonlagen","Elektra",NA,"Geen isolatie","Cv-ketel","Cv-ketel",NA,"150 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin","38 m² (6,6 meter diep en 5,74 meter breed)","Gelegen op het zuidoosten bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren",NA,NA,NA,NA,"Intergas HR (gas gestookt combiketel uit 2013, eigendom)",NA,NA,NA,NA,NA,NA
"2523","de Klerklaan 66","15 februari 2020","1 maart 2020","2 weken","€ 259.500 kosten koper","€ 2.703","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1952","Zadeldak bedekt met pannen","96 m²","7 m²","182 m²","367 m³","5 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen","Buitenzonwering, glasvezelkabel en TV kabel",NA,"Dubbel glas, HR-glas en muurisolatie","Cv-ketel","Cv-ketel",NA,"182 m²","Volle eigendom","In woonwijk","Achtertuin","61 m² (11 meter diep en 5,5 meter breed)","Gelegen op het noordwesten bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren","5 m²",NA,NA,NA,"Gas gestookt combiketel uit 2016, eigendom",NA,NA,NA,NA,NA,NA
"2524","Musschenbroekstraat 3","18 oktober 2019","29 januari 2020","3 maanden","€ 325.000 kosten koper","€ 2.708","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1935","Zadeldak bedekt met bitumineuze dakbedekking en pannen","120 m²","8 m²","155 m²","482 m³","6 kamers (5 slaapkamers)","1 badkamer en 1 apart toilet","Toilet","3 woonlagen en een zolder","Elektra",NA,"Geen isolatie","Cv-ketel","Cv-ketel",NA,"155 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin","85 m² (17 meter diep en 5 meter breed)","Gelegen op het noordoosten bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren","13 m²","2 m²",NA,NA,"Nefit Smartline (gas gestookt combiketel, eigendom)",NA,NA,NA,NA,NA,NA
"2525","Reinkenstraat 56","2 januari 2020","20 januari 2020","2 weken","€ 210.000 kosten koper","€ 3.000","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1950","Zadeldak bedekt met pannen","70 m²","9 m²","107 m²","287 m³","5 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche","3 woonlagen","Elektra","C Wat betekent dit?","Dakisolatie, dubbel glas en muurisolatie","Cv-ketel","Cv-ketel",NA,"107 m²","Volle eigendom",NA,"Achtertuin","44 m² (9,88 meter diep en 4,45 meter breed)","Gelegen op het zuidwesten bereikbaar via achterom","Vrijstaande stenen berging","Openbaar parkeren","11 m²",NA,NA,NA,"Intergas (gas gestookt combiketel uit 2008, huur)",NA,NA,NA,NA,NA,NA
"2526","Veldmaarschalk Montgomerylaan 19","31 oktober 2019","20 januari 2020","2½ maand","€ 429.000 kosten koper","€ 3.432","Verkocht",NA,"Bestaande bouw","2001",NA,"125 m²","7 m²",NA,"340 m³","4 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","10 woonlagen","Elektra","B Wat betekent dit?","Volledig geïsoleerd","Cv-ketel","Cv-ketel",NA,NA,"Volle eigendom","In centrum",NA,NA,NA,"Inpandig","Op afgesloten terrein",NA,NA,"Parkeerplaats",NA,"Vaillant (gas gestookt combiketel, eigendom)",NA,"€ 93 per maand","Frans balkon aanwezig","€ 93,00 per maand","Portiekflat (appartement)",NA
"2527","Otello 39","10 december 2019","24 december 2019","14 dagen","€ 365.000 kosten koper","€ 2.570","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1998","Plat dak bedekt met bitumineuze dakbedekking","142 m²","8 m²","160 m²","463 m³","6 kamers (5 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen","Elektra",NA,"Geen isolatie","Cv-ketel","Cv-ketel en zonneboiler",NA,"160 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin","60 m² (10,54 meter diep en 5,68 meter breed)","Gelegen op het oosten bereikbaar via achterom","Vrijstaande houten berging","Openbaar parkeren",NA,"18 m²",NA,NA,"Nefit NXT (gas gestookt combiketel uit 2016, eigendom)",NA,NA,NA,NA,NA,NA
"2528","Annecyhof 27","27 november 2019","13 december 2019","2 weken","€ 350.000 kosten koper","€ 2.011","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw","1981","Zadeldak bedekt met leisteen","174 m²","47 m²","284 m²","618 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","2 woonlagen en een zolder","Elektra",NA,"Dakisolatie, dubbel glas en muurisolatie","Cv-ketel","Cv-ketel",NA,"284 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin","80 m² (14,48 meter diep en 5,54 meter breed)","Gelegen op het zuidwesten","Vrijstaande stenen berging","Openbaar parkeren",NA,NA,"Vrijstaande stenen garage","1 auto","HR Nefit (gas gestookt combiketel uit 2000, eigendom)",NA,NA,NA,NA,NA,NA
"2529","Anconalaan 2","8 november 2019","17 februari 2020","3 maanden","€ 535.000 kosten koper","€ 3.040","Verkocht","Eengezinswoning, vrijstaande woning","Bestaande bouw","1995","Zadeldak bedekt met pannen","176 m²",NA,"374 m²","784 m³","4 kamers (3 slaapkamers)","2 aparte toiletten",NA,"2 woonlagen","Elektra",NA,"Dakisolatie, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel",NA,"374 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin","126 m² (9 meter diep en 14 meter breed)","Gelegen op het zuiden","Aangebouwde stenen berging","Op eigen terrein en openbaar parkeren","36 m²","10 m²","Inpandig","1 auto","Gas gestookt combiketel uit 2016, eigendom",NA,NA,NA,NA,NA,NA
"2530","Hoefkestraat 11","8 februari 2020","17 maart 2020","5 weken","€ 450.000 kosten koper","€ 3.191","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","2015","Zadeldak bedekt met pannen","141 m²","6 m²","126 m²","503 m³","5 kamers (4 slaapkamers)","1 badkamer en 2 aparte toiletten","Ligbad","3 woonlagen","Dakraam en TV kabel","A 0,92 Wat betekent dit?","Volledig geïsoleerd","Cv-ketel en gehele vloerverwarming","Cv-ketel",NA,"13 m²","Volle eigendom","Aan rustige weg, in centrum en in woonwijk","Achtertuin","60 m² (10 meter diep en 6 meter breed)","Gelegen op het oosten bereikbaar via achterom","Vrijstaande stenen berging","Op afgesloten terrein",NA,"1 m²",NA,NA,"Intergas HRE (gas gestookt uit 2015, eigendom)",NA,NA,NA,NA,NA,NA
"2531","Atrechtlaan 41","16 februari 2020","1 mei 2020","2 maanden","€ 210.000 kosten koper","€ 2.692",NA,"Eengezinswoning, tussenwoning","Bestaande bouw","1984",NA,NA,NA,NA,"315 m³","4 kamers (3 slaapkamers)",NA,NA,NA,NA,"B 1,53 Wat betekent dit?",NA,NA,NA,NA,"78 m² wonen / 149 m² perceel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2532","Grasklokje 13","29 februari 2020","26 maart 2020","3 weken","€ 475.000 kosten koper","€ 2.714","Verkocht","Eengezinswoning, geschakelde 2-onder-1-kapwoning","Bestaande bouw","2003","Zadeldak bedekt met pannen","175 m²",NA,"230 m²","625 m³","6 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en douche","2 woonlagen en een zolder","Elektra, verwarming en stromend water","A Wat betekent dit?","Volledig geïsoleerd","Stadsverwarming","Centrale voorziening",NA,"230 m²","Volle eigendom","Aan rustige weg, in woonwijk en open ligging","Achtertuin en voortuin","125 m² (12,5 meter diep en 10 meter breed)","Gelegen op het noordwesten bereikbaar via achterom","Aangebouwde stenen berging","Op eigen terrein en openbaar parkeren","31 m²",NA,"Aangebouwde stenen garage","1 auto",NA,NA,NA,"Balkon aanwezig",NA,NA,NA
"2533","Carel Willinkstraat 58","3 augustus 2019","13 augustus 2019","10 dagen","€ 289.000 kosten koper","€ 2.726","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","2003","Plat dak bedekt met bitumineuze dakbedekking","106 m²",NA,"134 m²","380 m³","4 kamers (3 slaapkamers)","1 badkamer en 2 aparte toiletten","Ligbad en douche","2 woonlagen","Elektra","A Wat betekent dit?","Volledig geïsoleerd","Cv-ketel","Cv-ketel",NA,"134 m²","Volle eigendom","Aan rustige weg, in bosrijke omgeving en in woonwijk","Patio/atrium en zonneterras",NA,"Gelegen op het zuiden bereikbaar via achterom","Inpandig","Openbaar parkeren","7 m²","24 m²","Carport",NA,"Remeha (gas gestookt combiketel, eigendom)",NA,NA,NA,NA,NA,NA
