"","Adres","Aangeboden sinds","Verkoopdatum","Looptijd","Laatste vraagprijs","Vraagprijs per m²","Status","Soort woonhuis","Soort bouw","Bouwjaar","Soort dak","Wonen","Overige inpandige ruimte","Perceel","Inhoud","Aantal kamers","Aantal badkamers","Badkamervoorzieningen","Aantal woonlagen","Voorzieningen","Energielabel","Isolatie","Verwarming","Warm water","Cv-ketel","Oppervlakte","Eigendomssituatie","Ligging","Tuin","Voortuin","Ligging tuin","Soort garage","Capaciteit","Soort parkeergelegenheid","Soort appartement","Gebouwgebonden buitenruimte","Externe bergruimte","Balkon/dakterras","Inschrijving KvK","Jaarlijkse vergadering","Periodieke bijdrage","Reservefonds aanwezig","Onderhoudsplan","Opstalverzekering","Schuur/berging","Bijdrage VvE","Gelegen op","Voorlopig energielabel","Bouwperiode","Achtertuin"
"1130","van Wageningenstraat 31","5 mei 2020","19 mei 2020","14 dagen","€ 169.500 kosten koper","€ 1.695","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1982","Zadeldak bedekt met pannen","100 m²","7 m²","110 m²","382 m³","6 kamers (5 slaapkamers)",NA,NA,"1 woonlaag","Elektra","C Wat betekent dit?","Dakisolatie en gedeeltelijk dubbel glas","Cv-ketel","Cv-ketel","REMEHA (gas gestookt combiketel uit 2018, huur)","110 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin",NA,"Gelegen op het oosten",NA,NA,"Op eigen terrein en openbaar parkeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Inpandig",NA,NA,NA,NA,"32 m² (6 meter diep en 5,4 meter breed)"
"1131","Zenegroen 10","1 mei 2020","19 mei 2020","2 weken","€ 259.500 kosten koper
Hypotheekadvies","€ 2.012","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw","1974","Zadeldak bedekt met pannen","129 m²","14 m²","194 m²","520 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","2 woonlagen","Vliering, elektra en stromend water",NA,"Dubbel glas","Cv-ketel","Cv-ketel","Remeha Calenta ( combiketel uit 2015, eigendom)","194 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin",NA,"Gelegen op het westen bereikbaar via achterom","Aangebouwde stenen garage","1 auto","Openbaar parkeren",NA,"1 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D Wat betekent dit?",NA,"65 m² (10 meter diep en 6,5 meter breed)"
"1132","Rollemastate 51","31 maart 2020","8 april 2020","8 dagen","€ 269.000 kosten koper","€ 2.280","Verkocht","Eengezinswoning, 2-onder-1-kapwoning","Bestaande bouw","1987","Zadeldak bedekt met pannen","118 m²","16 m²","251 m²","462 m³","5 kamers (4 slaapkamers)",NA,NA,"1 woonlaag","Elektrische deur, elektra en stromend water","C Wat betekent dit?","Dubbel glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel","AWB (gas gestookt combiketel uit 2001, eigendom)","251 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het westen bereikbaar via achterom","Aangebouwde stenen garage","1 auto","Op eigen terrein en openbaar parkeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"87 m² (10 meter diep en 10 meter breed)"
"1133","van der Kooijstraat 17","21 april 2020","28 april 2020","7 dagen","€ 132.500 kosten koper","€ 1.472","Verkocht","Eengezinswoning, eindwoning","Bestaande bouw",NA,"Samengesteld dak bedekt met bitumineuze dakbedekking en pannen","90 m²",NA,"98 m²","335 m³","4 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","2 woonlagen",NA,NA,"Gedeeltelijk dubbel glas","Cv-ketel","Cv-ketel","Gas gestookt combiketel uit 2002, eigendom","98 m²","Volle eigendom","Beschutte ligging en in woonwijk","Plaats",NA,"Gelegen op het oosten bereikbaar via achterom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G Wat betekent dit?","1906-1930",NA
"1134","Frittemastate 45","12 maart 2020","27 maart 2020","2 weken","€ 234.500 kosten koper","€ 2.113","Verkocht","Eengezinswoning, 2-onder-1-kapwoning","Bestaande bouw","1989",NA,"111 m²","16 m²","231 m²","450 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","2 woonlagen en een zolder",NA,"C Wat betekent dit?","Dakisolatie, gedeeltelijk dubbel glas en muurisolatie","Cv-ketel",NA,"Gas gestookt combiketel uit 2007, eigendom","231 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin",NA,"Gelegen op het oosten","Aangebouwde stenen garage","1 auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90 m² (10 meter diep en 9 meter breed)"
"1135","Ungastins 12","10 januari 2020","10 april 2020","3 maanden","€ 224.500 kosten koper","€ 2.551","Verkocht","Eengezinswoning, 2-onder-1-kapwoning","Bestaande bouw","1989",NA,"88 m²","18 m²","244 m²","365 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche","2 woonlagen en een zolder",NA,NA,"Dakisolatie en dubbel glas","Cv-ketel",NA,"Gas gestookt combiketel uit 2017, eigendom","244 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin",NA,"Gelegen op het zuiden bereikbaar via achterom","Aangebouwde stenen garage","1 auto",NA,NA,"4 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C Wat betekent dit?",NA,"123 m² (14,5 meter diep en 8,5 meter breed)"
"1136","Wiardastraat 4","1 mei 2020","20 mei 2020","2 weken","€ 169.000 kosten koper","€ 2.112","Verkocht","Eengezinswoning, 2-onder-1-kapwoning","Bestaande bouw","1925","Plat dak bedekt met bitumineuze dakbedekking","80 m²","5 m²","110 m²","255 m³","4 kamers (3 slaapkamers)","1 badkamer","Douche en toilet","2 woonlagen","Verwarming","F Wat betekent dit?","Dakisolatie en gedeeltelijk dubbel glas","Cv-ketel en houtkachel","Cv-ketel","Atag hr-combi (gas gestookt combiketel uit 2012, eigendom)","110 m²","Gemeentelijke erfpacht","Aan rustige weg en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het westen bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde stenen berging",NA,NA,NA,NA,"25 m² (5,7 meter diep en 4,5 meter breed)"
"1137","Bleeklaan 50","8 mei 2020","7 mei 2020",NA,"Prijs op aanvraag",NA,NA,"Eengezinswoning, eindwoning","Bestaande bouw","1930",NA,NA,NA,NA,"210 m³","3 kamers (2 slaapkamers)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"80 m² wonen / 126 m² perceel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G Wat betekent dit?",NA,NA
"1138","It Bynt 32","2 mei 2020","18 mei 2020","2 weken","€ 375.000 kosten koper","€ 2.622","Verkocht","Herenhuis, hoekwoning","Bestaande bouw","2015","Zadeldak bedekt met pannen","143 m²","20 m²","350 m²","620 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Zitbad, douche en toilet","2 woonlagen en een zolder","Vliering en elektra","A Wat betekent dit?","Volledig geïsoleerd","Stadsverwarming","Stadsverwarming",NA,"350 m²","Volle eigendom","Aan rustige weg, aan water, in woonwijk en vrij uitzicht","Tuin rondom",NA,NA,"Aangebouwde stenen garage","1 auto","Openbaar parkeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1139","Paul Krugerstraat 65","20 maart 2020","1 april 2020","12 dagen","€ 195.000 kosten koper
Hypotheekadvies","€ 1.822","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1920","Samengesteld dak bedekt met bitumineuze dakbedekking en pannen","107 m²",NA,"98 m²","412 m³","4 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche","2 woonlagen","Glasvezelkabel en TV kabel",NA,"Dakisolatie, dubbel glas, muurisolatie en vloerisolatie","Cv-ketel en gedeeltelijke vloerverwarming","Cv-ketel","Nefit (gas gestookt combiketel uit 2008, eigendom)","4 m²","Volle eigendom","In woonwijk","Achtertuin",NA,"Gelegen op het westen",NA,NA,"Parkeervergunningen",NA,NA,"4 m²","Dakterras aanwezig",NA,NA,NA,NA,NA,NA,"Aangebouwde stenen berging",NA,NA,"F Wat betekent dit?",NA,"13 m² (5 meter diep en 2,5 meter breed)"
"1140","Menaldumerstraat 3","6 april 2020","24 april 2020","2 weken","€ 275.000 kosten koper","€ 2.132","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1924",NA,"129 m²",NA,"130 m²","498 m³","6 kamers (5 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen","Elektra",NA,"Geen isolatie","Cv-ketel","Cv-ketel","Vaillant (2008, lease)","130 m²","Volle eigendom",NA,"Achtertuin",NA,"Gelegen op het zuidoosten bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,NA,"8 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande stenen berging",NA,NA,"F Wat betekent dit?",NA,"63 m² (9 meter diep en 7 meter breed)"
"1141","Ferdinand Bolstraat 13","13 maart 2020","13 maart 2020","0 dagen","Prijs op aanvraag",NA,NA,"Eengezinswoning, tussenwoning","Bestaande bouw","1932",NA,NA,NA,NA,"408 m³","4 kamers (3 slaapkamers)",NA,NA,NA,NA,"G Wat betekent dit?",NA,NA,NA,NA,"121 m² wonen / 168 m² perceel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1142","Cornelis Frederiksstraat 51","1 mei 2020","23 mei 2020","3 weken","€ 149.000 kosten koper","€ 2.191","Verkocht","Eengezinswoning, eindwoning","Bestaande bouw","1930",NA,"68 m²",NA,"106 m²","284 m³","4 kamers (3 slaapkamers)","1 badkamer","Douche","2 woonlagen",NA,"E Wat betekent dit?","Dubbel glas en muurisolatie","Cv-ketel","Cv-ketel","AWB (gas gestookt combiketel uit 2004, eigendom)","106 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin",NA,"Gelegen op het zuiden bereikbaar via achterom",NA,NA,"Parkeervergunningen",NA,NA,"6 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande houten berging",NA,NA,NA,NA,"37 m² (0,01 meter diep en 0,01 meter breed)"
"1143","Simke Kloostermanwei 42","3 april 2020","1 mei 2020","4 weken","€ 235.000 kosten koper","€ 1.567","Verkocht","Eengezinswoning, eindwoning","Bestaande bouw","1974","Zadeldak bedekt met pannen","150 m²",NA,"161 m²","507 m³","6 kamers (5 slaapkamers)","1 badkamer en 1 apart toilet","Toilet","2 woonlagen en een zolder","Elektra","D 1,81 Wat betekent dit?","Dakisolatie, dubbel glas en HR-glas","Cv-ketel en gedeeltelijke vloerverwarming","Cv-ketel","Remeha (gas gestookt combiketel uit 2010, eigendom)","161 m²","Volle eigendom","Aan park, aan rustige weg en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het zuiden bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,NA,"10 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande stenen berging",NA,NA,NA,NA,"61 m² (10,5 meter diep en 5,8 meter breed)"
"1144","Bilderdijkstraat 45","1 april 2020","21 april 2020","2 weken","€ 147.500 kosten koper","€ 2.269","Verkocht",NA,"Bestaande bouw","1954",NA,"65 m²",NA,NA,"252 m³","2 kamers (1 slaapkamer)","1 badkamer en 1 apart toilet","Douche","1 woonlaag","Buitenzonwering, glasvezelkabel, natuurlijke ventilatie en TV kabel","C Wat betekent dit?","Dubbel glas","Cv-ketel","Cv-ketel","Vaillant (gas gestookt combiketel uit 2012, lease)",NA,"Volle eigendom","In woonwijk","Achtertuin en voortuin",NA,"Gelegen op het zuidoosten bereikbaar via achterom",NA,NA,"Parkeervergunningen","Benedenwoning (appartement)",NA,"5 m²",NA,"Ja","Ja","Ja (€ 104,17 per maand)","Ja","Ja","Ja","Vrijstaande houten berging","€ 104,17 per maand","Begane grond",NA,NA,"225 m² (25 meter diep en 9 meter breed)"
"1145","De Gronzen 5","16 april 2020","15 mei 2020","4 weken","€ 295.000 kosten koper","€ 2.049","Verkocht","Eengezinswoning, 2-onder-1-kapwoning","Bestaande bouw","2005","Zadeldak bedekt met pannen","144 m²","24 m²","313 m²","579 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen","Elektra",NA,"Dakisolatie, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel","AWB (gas gestookt combiketel uit 2005, eigendom)","313 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin",NA,"Gelegen op het oosten bereikbaar via achterom","Aangebouwde stenen garage","1 auto","Op eigen terrein en openbaar parkeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B Wat betekent dit?",NA,"144 m² (16 meter diep en 9 meter breed)"
"1146","Beetgumerstraat 48","29 april 2020","15 mei 2020","2 weken","€ 175.000 kosten koper","€ 2.108","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1932","Zadeldak bedekt met pannen","83 m²",NA,"107 m²","298 m³","3 kamers (2 slaapkamers)","2 badkamers","Ligbad, douche en 2 toiletten","2 woonlagen","Elektra","F Wat betekent dit?","Dakisolatie en grotendeels dubbelglas","Cv-ketel","Cv-ketel","Intergas (gas gestookt combiketel uit 2012, eigendom)","16 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het noorden bereikbaar via achterom",NA,NA,"Openbaar parkeren en parkeervergunningen",NA,"16 m²","6 m²","Balkon aanwezig",NA,NA,NA,NA,NA,NA,"Inpandig",NA,NA,NA,NA,"26 m² (8,5 meter diep en 3 meter breed)"
"1147","Elizabethstraat 32","31 maart 2020","12 mei 2020","6 weken","€ 289.000 kosten koper","€ 2.157","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1905","Plat dak bedekt met bitumineuze dakbedekking","134 m²","7 m²","140 m²","543 m³","5 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Toilet","2 woonlagen","Elektra","C Wat betekent dit?","Dakisolatie, dubbel glas en muurisolatie","Cv-ketel","Cv-ketel","Intergas (gas gestookt combiketel uit 2020, eigendom)","140 m²","Volle eigendom","Aan rustige weg, in centrum en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het westen bereikbaar via achterom",NA,NA,"Parkeervergunningen",NA,"13 m²",NA,"Balkon aanwezig",NA,NA,NA,NA,NA,NA,"Aangebouwde stenen berging",NA,NA,NA,NA,"55 m² (8,5 meter diep en 6,5 meter breed)"
"1148","De Rijd 8","28 maart 2020","9 april 2020","12 dagen","€ 289.500 kosten koper
Hypotheekadvies","€ 2.335","Verkocht","Eengezinswoning, 2-onder-1-kapwoning","Bestaande bouw","2001","Dwarskap bedekt met pannen","124 m²","18 m²","230 m²","486 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad en toilet","3 woonlagen","Elektra","A Wat betekent dit?","HR-glas en volledig geïsoleerd","Cv-ketel en warmte terugwininstallatie","Cv-ketel","Atag HR-combiketel (gas gestookt combiketel uit 2014, eigendom)","230 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin, voortuin en zonneterras",NA,"Gelegen op het zuidwesten","Garage met carport","1 auto","Op eigen terrein en openbaar parkeren",NA,"12 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80 m² (10 meter diep en 8 meter breed)"
"1149","Frederik Ruyschstraat 15","21 april 2020","7 mei 2020","2 weken","€ 165.000 kosten koper","€ 1.618","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1930","Zadeldak bedekt met pannen","102 m²","16 m²","126 m²","403 m³","5 kamers (4 slaapkamers)","1 badkamer","Toilet","3 woonlagen","Elektra","E Wat betekent dit?","Dakisolatie en gedeeltelijk dubbel glas","Cv-ketel","Cv-ketel","AWB (gas gestookt combiketel uit 2002, eigendom)","126 m²","Volle eigendom","Beschutte ligging en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het westen bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,NA,NA,"Dakterras aanwezig",NA,NA,NA,NA,NA,NA,"Aangebouwde houten berging",NA,NA,NA,NA,"60 m² (12 meter diep en 5 meter breed)"
"1150","Zaailand 4 a","13 maart 2020","15 april 2020","4 weken","€ 200.000 kosten koper
Hypotheekadvies","€ 2.740","Verkocht",NA,"Bestaande bouw","1980","Samengesteld dak bedekt met pannen","73 m²",NA,NA,"232 m³","3 kamers (2 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad","3 woonlagen","Elektra","B Wat betekent dit?",NA,"Cv-ketel","Cv-ketel","Gas gestookt combiketel uit 2017, eigendom",NA,"Volle eigendom","In centrum, in woonwijk en vrij uitzicht",NA,NA,NA,"Parkeerkelder",NA,"Betaald parkeren, openbaar parkeren, parkeergarage en parkeervergunningen","Galerijflat (appartement)","6 m²","6 m²","Balkon aanwezig","Nee","Nee","Nee","Nee","Nee","Nee","Inpandig",NA,"2e woonlaag",NA,NA,NA
"1151","Meidoornstraat 73","8 mei 2020","20 mei 2020","12 dagen","€ 129.000 kosten koper","€ 1.870","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1930","Dwarskap bedekt met pannen","69 m²","1 m²","94 m²","255 m³","4 kamers (3 slaapkamers)","1 badkamer","Ligbad, douche en toilet","2 woonlagen en een vliering",NA,"F Wat betekent dit?","Dubbel glas","Cv-ketel","Cv-ketel","Intergas HR (gas gestookt combiketel uit 2015, eigendom)","94 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het noordwesten bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,"1 m²","6 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande stenen berging",NA,NA,NA,NA,"19 m² (7 meter diep en 2,75 meter breed)"
"1152","van Beverwijckstraat 55","10 april 2020","13 mei 2020","4 weken","€ 198.000 kosten koper","€ 1.571","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1971","Zadeldak","126 m²",NA,"147 m²","436 m³","6 kamers (5 slaapkamers)","1 badkamer en 1 apart toilet","Toilet","2 woonlagen en een zolder","Buitenzonwering, mechanische ventilatie en TV kabel","B Wat betekent dit?","Dakisolatie, dubbel glas en vloerisolatie","Cv-ketel","Geiser","HR (gas gestookt combiketel, eigendom)","147 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het noordwesten bereikbaar via achterom",NA,NA,NA,NA,NA,"10 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66 m² (11 meter diep en 6 meter breed)"
"1153","Friesburg 18","7 april 2020","9 april 2020","2 dagen","€ 112.500 kosten koper","€ 2.446","Verkocht",NA,"Bestaande bouw",NA,NA,"46 m²",NA,NA,"155 m³","2 kamers (1 slaapkamer)","1 badkamer en 1 apart toilet","Douche en toilet","3 woonlagen","TV kabel","C Wat betekent dit?","Dubbel glas, muurisolatie en vloerisolatie","Cv-ketel","Cv-ketel","Gas gestookt combiketel uit 2004, eigendom",NA,"Volle eigendom","Aan water, in woonwijk en vrij uitzicht",NA,NA,NA,NA,NA,NA,"Galerijflat","4 m²","9 m²","Balkon aanwezig","Ja","Ja","Ja (€ 77,98 per maand)","Ja","Ja","Ja","Box","€ 77,98 per maand","2e woonlaag",NA,"1981-1990",NA
"1154","Claes Bockes Balckstraat 7","15 april 2020","23 april 2020","8 dagen","€ 225.000 kosten koper","€ 2.009","Verkocht","Herenhuis, tussenwoning","Bestaande bouw","1905",NA,"112 m²",NA,"124 m²","443 m³","5 kamers (3 slaapkamers)","1 badkamer en 2 aparte toiletten","Douche en toilet","2 woonlagen","Natuurlijke ventilatie, rookkanaal en TV kabel",NA,"Dakisolatie, dubbel glas en vloerisolatie","Cv-ketel","Cv-ketel","AWB (gas gestookt combiketel uit 2008, eigendom)","124 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin",NA,"Gelegen op het noorden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F Wat betekent dit?",NA,"33 m² (5,5 meter diep en 6 meter breed)"
"1155","Robinsonstraat 152","2 april 2020","10 mei 2020","5 weken","€ 169.500 kosten koper","€ 1.304","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw","1973",NA,"130 m²",NA,"160 m²","451 m³","5 kamers (4 slaapkamers)","2 aparte toiletten",NA,"2 woonlagen",NA,NA,NA,NA,NA,NA,"160 m²","Volle eigendom","In woonwijk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D Wat betekent dit?",NA,NA
"1156","It Bûthús 23","18 april 2020","12 mei 2020","3 weken","€ 269.500 kosten koper","€ 2.026","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw","2008","Zadeldak bedekt met pannen","133 m²","1 m²","167 m²","491 m³","5 kamers (3 slaapkamers)","1 badkamer","Ligbad, douche en toilet","3 woonlagen en een zolder","Elektra","A Wat betekent dit?","Volledig geïsoleerd","Stadsverwarming","Stadsverwarming",NA,"167 m²","Volle eigendom","Aan rustige weg, beschutte ligging en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het zuidwesten bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,NA,"7 m²",NA,NA,NA,NA,NA,NA,NA,"Aangebouwde houten berging",NA,NA,NA,NA,"79 m² (12,7 meter diep en 6,2 meter breed)"
"1157","Johan Winklerwei 18","10 maart 2020","23 april 2020","6 weken","€ 199.500 kosten koper","€ 1.511","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1974","Zadeldak bedekt met pannen","132 m²",NA,"136 m²","453 m³","6 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Douche en toilet","3 woonlagen","Elektra","F 2,87 Wat betekent dit?","Dakisolatie en HR-glas","Cv-ketel","Cv-ketel","Nefit HR (gas gestookt combiketel uit 2015, lease)","136 m²","Volle eigendom","Aan water en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het zuiden",NA,NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Inpandig",NA,NA,NA,NA,"44 m² (8 meter diep en 5,5 meter breed)"
"1158","Cornelis Trooststraat 17","5 maart 2020","16 maart 2020","11 dagen","€ 234.500 kosten koper","€ 1.846","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","2000","Plat dak bedekt met bitumineuze dakbedekking","127 m²",NA,"102 m²","413 m³","5 kamers (4 slaapkamers)",NA,NA,"3 woonlagen","Buitenzonwering","A Wat betekent dit?","Dakisolatie, driedubbel glas, dubbel glas, eco-bouw, gedeeltelijk dubbel glas, geen spouw, grotendeels dubbelglas, HR-glas, kierdichting, muurisolatie, vloerisolatie, volledig geïsoleerd en voorzetramen","Cv-ketel en gedeeltelijke vloerverwarming","Cv-ketel","Intergas (gas gestookt combiketel uit 2018)","102 m²","Volle eigendom",NA,"Achtertuin",NA,"Gelegen op het zuidoosten bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,NA,"8 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande houten berging",NA,NA,NA,NA,"45 m² (10 meter diep en 4,5 meter breed)"
"1159","Epemastate 49","6 maart 2020","21 maart 2020","2 weken","€ 179.500 kosten koper","€ 1.632","Verkocht","Eengezinswoning, hoekwoning","Bestaande bouw","1979",NA,"110 m²",NA,"152 m²","375 m³","5 kamers (4 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","2 woonlagen en een zolder",NA,"C Wat betekent dit?","Dubbel glas","Cv-ketel",NA,"Gas gestookt combiketel uit 2019, eigendom","152 m²","Volle eigendom","In woonwijk","Achtertuin, voortuin en zijtuin",NA,"Gelegen op het oosten bereikbaar via achterom","Carport",NA,NA,NA,NA,"17 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande stenen berging",NA,NA,NA,NA,"49 m² (7,5 meter diep en 6,5 meter breed)"
"1160","Hanenburg 6","26 februari 2020","17 maart 2020","2 weken","€ 109.500 kosten koper","€ 2.190","Verkocht",NA,"Bestaande bouw","1981",NA,"50 m²",NA,NA,"182 m³","3 kamers (1 slaapkamer)","1 badkamer","Douche en toilet","2 woonlagen",NA,"C Wat betekent dit?",NA,NA,NA,NA,NA,"Volle eigendom","Aan rustige weg en in woonwijk",NA,NA,NA,"Parkeerplaats",NA,NA,"Bovenwoning (appartement)",NA,"5 m²","Balkon aanwezig","Nee","Nee","Nee","Nee","Nee","Nee",NA,"€ 25,00 per maand","1e woonlaag",NA,NA,NA
"1161","Moezel 12","14 maart 2020","7 april 2020","3 weken","€ 240.000 kosten koper
Hypotheekadvies","€ 1.611","Verkocht","Eengezinswoning, eindwoning","Bestaande bouw","2003","Samengesteld dak bedekt met pannen","149 m²",NA,"310 m²","451 m³","5 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen","Dakraam","A 0,95 Wat betekent dit?","Volledig geïsoleerd",NA,NA,NA,"310 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin, voortuin en zijtuin",NA,NA,NA,NA,"Openbaar parkeren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aangebouwde stenen berging",NA,NA,NA,NA,NA
"1162","Ibisstraat 19","8 april 2020","25 april 2020","2 weken","€ 299.500 kosten koper","€ 2.322","Verkocht","Eengezinswoning, tussenwoning","Bestaande bouw","1930","Samengesteld dak bedekt met bitumineuze dakbedekking en pannen","129 m²",NA,"161 m²","464 m³","5 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Ligbad, douche en toilet","3 woonlagen","Elektra",NA,"Dakisolatie, dubbel glas en vloerisolatie","Cv-ketel","Cv-ketel","AWB HR (gas gestookt combiketel uit 2011, eigendom)","161 m²","Volle eigendom","Aan rustige weg en in woonwijk","Achtertuin en voortuin",NA,"Gelegen op het zuiden bereikbaar via achterom",NA,NA,"Openbaar parkeren en parkeervergunningen",NA,NA,"14 m²",NA,NA,NA,NA,NA,NA,NA,"Vrijstaande stenen berging",NA,NA,"F Wat betekent dit?",NA,"78 m² (13 meter diep en 6 meter breed)"
"1163","Goudenregenstraat 21","2 april 2020","17 april 2020","2 weken","€ 225.000 kosten koper","€ 1.844","Verkocht","Eengezinswoning, eindwoning","Bestaande bouw",NA,"Zadeldak bedekt met pannen","122 m²","5 m²","161 m²","482 m³","5 kamers (3 slaapkamers)","1 badkamer en 1 apart toilet","Douche","2 woonlagen, een zolder en een kelder","Elektra",NA,"Geen isolatie","Cv-ketel","Geiser","AWB (gas gestookt uit 2015, eigendom)","161 m²","Volle eigendom","In woonwijk","Achtertuin en voortuin",NA,"Gelegen op het zuidwesten bereikbaar via achterom",NA,NA,"Openbaar parkeren",NA,"12 m²",NA,"Dakterras aanwezig en balkon aanwezig",NA,NA,NA,NA,NA,NA,"Aangebouwde stenen berging",NA,NA,"G Wat betekent dit?","1931-1944","29 m² (9 meter diep en 3,25 meter breed)"
